Store,Cat,Date,Margin,Sales,Profit,COGS
1,1,01/01/2018,0.5432,24924.5,13538.9884,11385.5116
1,1,01/02/2018,0.5432,46039.49,25008.65097,21030.83903
1,1,01/03/2018,0.5432,41595.55,22594.70276,19000.84724
1,1,01/04/2017,0.5432,19403.54,10540.00293,8863.537072
1,1,01/04/2018,0.5432,19403.54,10540.00293,8863.537072
1,1,01/05/2017,0.5432,21827.9,11856.91528,9970.98472
1,1,01/05/2018,0.5432,21827.9,11856.91528,9970.98472
1,1,01/06/2017,0.5432,21043.39,11430.76945,9612.620552
1,1,01/06/2018,0.5432,21043.39,11430.76945,9612.620552
1,1,01/07/2017,0.5432,22136.64,12024.62285,10112.01715
1,1,01/07/2018,0.5432,22136.64,12024.62285,10112.01715
1,1,01/08/2017,0.5432,26229.21,14247.70687,11981.50313
1,1,01/08/2018,0.5432,26229.21,14247.70687,11981.50313
1,1,01/09/2017,0.5432,57258.43,31102.77918,26155.65082
1,1,01/09/2018,0.5432,57258.43,31102.77918,26155.65082
1,1,01/10/2017,0.5432,42960.91,23336.36631,19624.54369
1,1,01/10/2018,0.5432,42960.91,23336.36631,19624.54369
1,1,01/11/2017,0.5432,17596.96,9558.668672,8038.291328
1,1,01/11/2018,0.5432,17596.96,9558.668672,8038.291328
1,1,01/12/2017,0.5432,16145.35,8770.15412,7375.19588
1,1,01/12/2018,0.5432,16145.35,8770.15412,7375.19588
1,1,01/01/2017,0.5432,357161.87,194010.3278,163151.5422
1,1,01/01/2018,0.5432,357161.87,194010.3278,163151.5422
1,2,01/01/2017,0.5542,50605.27,28045.44063,22559.82937
1,2,01/01/2018,0.5542,50605.27,28045.44063,22559.82937
1,2,01/02/2017,0.5542,44682.74,24763.17451,19919.56549
1,2,01/02/2018,0.5542,44682.74,24763.17451,19919.56549
1,2,01/03/2017,0.5542,47928.89,26562.19084,21366.69916
1,2,01/03/2018,0.5542,47928.89,26562.19084,21366.69916
1,2,01/04/2017,0.5542,44292.87,24547.10855,19745.76145
1,2,01/04/2018,0.5542,44292.87,24547.10855,19745.76145
1,2,01/05/2017,0.5542,48397.98,26822.16052,21575.81948
1,2,01/05/2018,0.5542,48397.98,26822.16052,21575.81948
1,2,01/06/2017,0.5542,43751.94,24247.32515,19504.61485
1,2,01/06/2018,0.5542,43751.94,24247.32515,19504.61485
1,2,01/07/2017,0.5542,43615.49,24171.70456,19443.78544
1,2,01/07/2018,0.5542,43615.49,24171.70456,19443.78544
1,2,01/08/2017,0.5542,41892.55,23216.85121,18675.69879
1,2,01/08/2018,0.5542,41892.55,23216.85121,18675.69879
1,2,01/09/2017,0.5542,47450.5,26297.0671,21153.4329
1,2,01/09/2018,0.5542,47450.5,26297.0671,21153.4329
1,2,01/10/2017,0.5542,46549.73,25797.86037,20751.86963
1,2,01/10/2018,0.5542,46549.73,25797.86037,20751.86963
1,2,01/11/2017,0.5542,45025.02,24952.86608,20072.15392
1,2,01/11/2018,0.5542,45025.02,24952.86608,20072.15392
1,2,01/12/2017,0.5542,44418.11,24616.51656,19801.59344
1,2,01/12/2018,0.5542,44418.11,24616.51656,19801.59344
1,2,01/01/2017,0.5542,548611.09,304040.2661,244570.8239
1,2,01/01/2018,0.5542,548611.09,304040.2661,244570.8239
1,3,01/01/2017,0.5212,13740.12,7161.350544,6578.769456
1,3,01/01/2018,0.5212,13740.12,7161.350544,6578.769456
1,3,01/02/2017,0.5212,10887.84,5674.742208,5213.097792
1,3,01/02/2018,0.5212,10887.84,5674.742208,5213.097792
1,3,01/03/2017,0.5212,11523.47,6006.032564,5517.437436
1,3,01/03/2018,0.5212,11523.47,6006.032564,5517.437436
1,3,01/04/2017,0.5212,11135.17,5803.650604,5331.519396
1,3,01/04/2018,0.5212,11135.17,5803.650604,5331.519396
1,3,01/05/2017,0.5212,12275.58,6398.032296,5877.547704
1,3,01/05/2018,0.5212,12275.58,6398.032296,5877.547704
1,3,01/06/2017,0.5212,10123.45,5276.34214,4847.10786
1,3,01/06/2018,0.5212,10123.45,5276.34214,4847.10786
1,3,01/07/2017,0.5212,9001.37,4691.514044,4309.855956
1,3,01/07/2018,0.5212,9001.37,4691.514044,4309.855956
1,3,01/08/2017,0.5212,10366.85,5403.20222,4963.64778
1,3,01/08/2018,0.5212,10366.85,5403.20222,4963.64778
1,3,01/09/2017,0.5212,11157.08,5815.070096,5342.009904
1,3,01/09/2018,0.5212,11157.08,5815.070096,5342.009904
1,3,01/10/2017,0.5212,10179.29,5305.445948,4873.844052
1,3,01/10/2018,0.5212,10179.29,5305.445948,4873.844052
1,3,01/11/2017,0.5212,9226.8,4809.00816,4417.79184
1,3,01/11/2018,0.5212,9226.8,4809.00816,4417.79184
1,3,01/12/2017,0.5212,8868.93,4622.486316,4246.443684
1,3,01/12/2018,0.5212,8868.93,4622.486316,4246.443684
1,3,01/01/2017,0.5212,128485.95,66966.87714,61519.07286
1,3,01/01/2018,0.5212,128485.95,66966.87714,61519.07286
1,4,01/01/2017,0.5462,39954.04,21822.89665,18131.14335
1,4,01/01/2018,0.5462,39954.04,21822.89665,18131.14335
1,4,01/02/2017,0.5462,35351.21,19308.8309,16042.3791
1,4,01/02/2018,0.5462,35351.21,19308.8309,16042.3791
1,4,01/03/2017,0.5462,36826.95,20114.88009,16712.06991
1,4,01/03/2018,0.5462,36826.95,20114.88009,16712.06991
1,4,01/04/2017,0.5462,34660.16,18931.37939,15728.78061
1,4,01/04/2018,0.5462,34660.16,18931.37939,15728.78061
1,4,01/05/2017,0.5462,38086.19,20802.67698,17283.51302
1,4,01/05/2018,0.5462,38086.19,20802.67698,17283.51302
1,4,01/06/2017,0.5462,32668.67,17843.62755,14825.04245
1,4,01/06/2018,0.5462,32668.67,17843.62755,14825.04245
1,4,01/07/2017,0.5462,34118.11,18635.31168,15482.79832
1,4,01/07/2018,0.5462,34118.11,18635.31168,15482.79832
